Month,Customer ID,Customer,Tier,Industry,Service Type,Tickets,Resolved Tickets,Tickets With Outcome,Breached Tickets,SLA Compliance Pct,P50 Resolution Hours,Avg Target Utilisation
2024-07-01,CUST-001,Lakeview Health Network,Silver,Healthcare,Dedicated Internet,26,26,26,2,92.31,24.02,0.515
2024-07-01,CUST-001,Lakeview Health Network,Silver,Healthcare,SD-WAN,4,4,4,1,75.0,61.76,0.862
2024-07-01,CUST-001,Lakeview Health Network,Silver,Healthcare,Managed Cloud,8,8,8,1,87.5,21.53,0.61
2024-07-01,CUST-001,Lakeview Health Network,Silver,Healthcare,Business Voice (SIP),15,15,15,1,93.33,26.31,0.496
2024-07-01,CUST-001,Lakeview Health Network,Silver,Healthcare,Managed Security,6,6,6,1,83.33,28.46,0.456
2024-07-01,CUST-001,Lakeview Health Network,Silver,Healthcare,MPLS WAN,17,17,17,0,100.0,19.56,0.406
2024-07-01,CUST-002,Westgate Care Group,Silver,Healthcare,Managed Security,1,1,1,0,100.0,13.2,0.183
2024-07-01,CUST-002,Westgate Care Group,Silver,Healthcare,SD-WAN,8,8,8,0,100.0,45.44,0.537
2024-07-01,CUST-002,Westgate Care Group,Silver,Healthcare,Managed Cloud,9,9,9,0,100.0,33.25,0.334
2024-07-01,CUST-002,Westgate Care Group,Silver,Healthcare,Business Voice (SIP),4,4,4,2,50.0,40.32,0.623
2024-07-01,CUST-002,Westgate Care Group,Silver,Healthcare,Dedicated Internet,6,6,6,0,100.0,15.33,0.47
2024-07-01,CUST-003,Juniper Polytechnic,Platinum,Education,Dedicated Internet,135,135,135,26,80.74,11.98,0.712
2024-07-01,CUST-003,Juniper Polytechnic,Platinum,Education,Business Voice (SIP),72,72,72,11,84.72,14.51,0.669
2024-07-01,CUST-003,Juniper Polytechnic,Platinum,Education,Managed Cloud,40,40,40,6,85.0,12.92,0.571
2024-07-01,CUST-003,Juniper Polytechnic,Platinum,Education,SD-WAN,92,92,92,22,76.09,15.32,0.756
2024-07-01,CUST-003,Juniper Polytechnic,Platinum,Education,MPLS WAN,22,22,22,3,86.36,12.87,1.141
2024-07-01,CUST-003,Juniper Polytechnic,Platinum,Education,Managed Security,60,60,60,9,85.0,8.54,0.654
2024-07-01,CUST-004,Heritage College,Bronze,Education,Dedicated Internet,32,32,32,3,90.63,57.54,0.633
2024-07-01,CUST-004,Heritage College,Bronze,Education,Managed Cloud,21,21,21,3,85.71,63.14,0.748
2024-07-01,CUST-004,Heritage College,Bronze,Education,SD-WAN,28,28,28,12,57.14,95.53,1.105
2024-07-01,CUST-004,Heritage College,Bronze,Education,Managed Security,14,14,14,0,100.0,37.88,0.426
2024-07-01,CUST-004,Heritage College,Bronze,Education,MPLS WAN,3,3,3,1,66.67,104.16,0.82
2024-07-01,CUST-005,Bluewater Health Network,Silver,Healthcare,Dedicated Internet,9,9,9,0,100.0,13.51,0.344
2024-07-01,CUST-005,Bluewater Health Network,Silver,Healthcare,Managed Security,18,18,18,4,77.78,27.68,0.562
2024-07-01,CUST-005,Bluewater Health Network,Silver,Healthcare,SD-WAN,31,31,31,5,83.87,27.06,0.687
2024-07-01,CUST-005,Bluewater Health Network,Silver,Healthcare,Business Voice (SIP),30,30,30,2,93.33,22.25,0.483
2024-07-01,CUST-006,Northshore Utilities,Silver,Public Sector,Managed Security,2,2,2,0,100.0,29.31,0.512
2024-07-01,CUST-006,Northshore Utilities,Silver,Public Sector,Dedicated Internet,26,26,26,4,84.62,32.56,0.549
2024-07-01,CUST-006,Northshore Utilities,Silver,Public Sector,SD-WAN,23,23,23,5,78.26,38.34,0.812
2024-07-01,CUST-006,Northshore Utilities,Silver,Public Sector,MPLS WAN,4,4,4,0,100.0,20.41,0.367
2024-07-01,CUST-006,Northshore Utilities,Silver,Public Sector,Business Voice (SIP),51,51,51,10,80.39,33.77,0.601
2024-07-01,CUST-007,Ashford Renewables,Bronze,Energy,Business Voice (SIP),5,5,5,1,80.0,34.25,0.631
2024-07-01,CUST-007,Ashford Renewables,Bronze,Energy,Managed Security,12,12,12,1,91.67,30.62,0.455
2024-07-01,CUST-007,Ashford Renewables,Bronze,Energy,Dedicated Internet,11,11,11,1,90.91,32.56,0.488
2024-07-01,CUST-007,Ashford Renewables,Bronze,Energy,SD-WAN,19,19,19,5,73.68,52.03,0.865
2024-07-01,CUST-007,Ashford Renewables,Bronze,Energy,Managed Cloud,6,6,6,0,100.0,35.2,0.453
2024-07-01,CUST-008,Maple College,Gold,Education,Dedicated Internet,42,42,42,4,90.48,20.52,0.5
2024-07-01,CUST-008,Maple College,Gold,Education,MPLS WAN,18,18,18,2,88.89,22.51,0.558
2024-07-01,CUST-008,Maple College,Gold,Education,Business Voice (SIP),24,24,24,1,95.83,25.84,0.437
2024-07-01,CUST-008,Maple College,Gold,Education,Managed Cloud,25,25,25,1,96.0,10.74,0.76
2024-07-01,CUST-008,Maple College,Gold,Education,SD-WAN,43,43,43,5,88.37,25.32,0.532
2024-07-01,CUST-008,Maple College,Gold,Education,Managed Security,8,8,8,0,100.0,4.75,0.311
2024-07-01,CUST-009,Dominion Outfitters,Silver,Retail,Business Voice (SIP),36,36,36,5,86.11,26.81,0.588
2024-07-01,CUST-009,Dominion Outfitters,Silver,Retail,SD-WAN,16,16,16,1,93.75,19.48,0.393
2024-07-01,CUST-009,Dominion Outfitters,Silver,Retail,Managed Cloud,9,9,9,0,100.0,17.47,0.314
2024-07-01,CUST-009,Dominion Outfitters,Silver,Retail,MPLS WAN,2,2,2,1,50.0,80.0,0.772
2024-07-01,CUST-009,Dominion Outfitters,Silver,Retail,Dedicated Internet,8,8,8,2,75.0,33.49,0.779
2024-07-01,CUST-009,Dominion Outfitters,Silver,Retail,Managed Security,4,4,4,0,100.0,15.94,0.338
2024-07-01,CUST-010,Lighthouse Manufacturing,Gold,Manufacturing,Dedicated Internet,29,29,29,6,79.31,23.72,0.669
2024-07-01,CUST-010,Lighthouse Manufacturing,Gold,Manufacturing,MPLS WAN,43,43,43,5,88.37,17.2,0.456
2024-07-01,CUST-010,Lighthouse Manufacturing,Gold,Manufacturing,Managed Security,12,12,12,1,91.67,22.09,1.198
2024-07-01,CUST-010,Lighthouse Manufacturing,Gold,Manufacturing,SD-WAN,50,50,50,8,84.0,18.42,0.525
2024-07-01,CUST-010,Lighthouse Manufacturing,Gold,Manufacturing,Managed Cloud,20,20,20,0,100.0,16.61,0.377
2024-07-01,CUST-010,Lighthouse Manufacturing,Gold,Manufacturing,Business Voice (SIP),25,25,25,4,84.0,32.14,0.584
2024-07-01,CUST-011,Prairie Health Network,Silver,Healthcare,MPLS WAN,13,13,13,3,76.92,40.74,0.673
2024-07-01,CUST-011,Prairie Health Network,Silver,Healthcare,SD-WAN,32,32,32,5,84.38,34.12,0.67
2024-07-01,CUST-011,Prairie Health Network,Silver,Healthcare,Managed Cloud,16,16,16,1,93.75,16.71,0.475
2024-07-01,CUST-011,Prairie Health Network,Silver,Healthcare,Managed Security,5,5,5,0,100.0,23.63,0.307
2024-07-01,CUST-011,Prairie Health Network,Silver,Healthcare,Dedicated Internet,37,37,37,4,89.19,32.21,0.494
2024-07-01,CUST-011,Prairie Health Network,Silver,Healthcare,Business Voice (SIP),12,12,12,0,100.0,20.66,0.472
2024-07-01,CUST-012,Pioneer Freight Lines,Silver,Logistics,SD-WAN,82,82,82,24,70.73,49.47,0.895
2024-07-01,CUST-012,Pioneer Freight Lines,Silver,Logistics,Business Voice (SIP),45,45,45,7,84.44,36.72,0.63
2024-07-01,CUST-012,Pioneer Freight Lines,Silver,Logistics,Managed Security,9,9,9,1,88.89,29.16,0.458
2024-07-01,CUST-012,Pioneer Freight Lines,Silver,Logistics,Managed Cloud,6,6,6,0,100.0,27.6,0.354
2024-07-01,CUST-012,Pioneer Freight Lines,Silver,Logistics,Dedicated Internet,23,23,23,2,91.3,33.34,0.562
2024-07-01,CUST-013,Nordic School Board,Gold,Public Sector,Managed Cloud,40,40,40,4,90.0,13.36,0.501
2024-07-01,CUST-013,Nordic School Board,Gold,Public Sector,Managed Security,20,20,20,2,90.0,22.87,0.518
2024-07-01,CUST-013,Nordic School Board,Gold,Public Sector,Business Voice (SIP),17,17,17,1,94.12,15.0,0.453
2024-07-01,CUST-013,Nordic School Board,Gold,Public Sector,MPLS WAN,13,13,13,3,76.92,22.28,0.66
2024-07-01,CUST-013,Nordic School Board,Gold,Public Sector,Dedicated Internet,23,23,23,3,86.96,33.67,0.63
2024-07-01,CUST-013,Nordic School Board,Gold,Public Sector,SD-WAN,35,35,35,2,94.29,18.97,0.563
2024-07-01,CUST-014,Riverbend Polytechnic,Platinum,Education,Managed Security,19,19,19,1,94.74,19.79,0.482
2024-07-01,CUST-014,Riverbend Polytechnic,Platinum,Education,Business Voice (SIP),84,84,84,11,86.9,14.5,0.604
2024-07-01,CUST-014,Riverbend Polytechnic,Platinum,Education,MPLS WAN,30,30,30,2,93.33,12.81,0.538
2024-07-01,CUST-014,Riverbend Polytechnic,Platinum,Education,Dedicated Internet,68,68,68,10,85.29,9.84,0.768
2024-07-01,CUST-014,Riverbend Polytechnic,Platinum,Education,SD-WAN,137,137,137,26,81.02,14.51,0.808
2024-07-01,CUST-014,Riverbend Polytechnic,Platinum,Education,Managed Cloud,35,35,35,2,94.29,8.35,0.445
2024-07-01,CUST-015,Aurora Pharmacies,Platinum,Healthcare,Managed Cloud,42,42,42,4,90.48,8.75,0.548
2024-07-01,CUST-015,Aurora Pharmacies,Platinum,Healthcare,SD-WAN,104,104,104,17,83.65,11.62,0.629
2024-07-01,CUST-015,Aurora Pharmacies,Platinum,Healthcare,Managed Security,21,21,21,0,100.0,5.88,0.315
2024-07-01,CUST-015,Aurora Pharmacies,Platinum,Healthcare,Dedicated Internet,103,103,103,12,88.35,9.63,0.577
2024-07-01,CUST-015,Aurora Pharmacies,Platinum,Healthcare,Business Voice (SIP),78,78,78,5,93.59,8.56,0.465
2024-07-01,CUST-016,Redwood Learning Trust,Silver,Education,Dedicated Internet,22,22,22,3,86.36,23.87,0.534
2024-07-01,CUST-016,Redwood Learning Trust,Silver,Education,Business Voice (SIP),14,14,14,1,92.86,13.19,0.336
2024-07-01,CUST-016,Redwood Learning Trust,Silver,Education,Managed Cloud,27,27,27,0,100.0,19.92,0.327
2024-07-01,CUST-016,Redwood Learning Trust,Silver,Education,MPLS WAN,7,7,7,1,85.71,29.37,0.577
2024-07-01,CUST-016,Redwood Learning Trust,Silver,Education,Managed Security,12,12,12,1,91.67,19.91,0.451
2024-07-01,CUST-016,Redwood Learning Trust,Silver,Education,SD-WAN,31,31,31,3,90.32,38.1,0.522
2024-07-01,CUST-017,Coastal Energy,Gold,Energy,Managed Security,11,11,11,2,81.82,8.73,0.514
2024-07-01,CUST-017,Coastal Energy,Gold,Energy,Business Voice (SIP),49,49,49,6,87.76,13.5,0.531
2024-07-01,CUST-017,Coastal Energy,Gold,Energy,Managed Cloud,15,15,15,1,93.33,8.53,0.395
2024-07-01,CUST-017,Coastal Energy,Gold,Energy,Dedicated Internet,51,51,51,4,92.16,18.22,0.548
2024-07-01,CUST-017,Coastal Energy,Gold,Energy,SD-WAN,42,42,42,7,83.33,21.31,0.648
2024-07-01,CUST-017,Coastal Energy,Gold,Energy,MPLS WAN,20,20,20,3,85.0,23.75,0.585
2024-07-01,CUST-018,Granite Power Co-op,Gold,Energy,MPLS WAN,49,49,49,9,81.63,21.13,0.561
2024-07-01,CUST-018,Granite Power Co-op,Gold,Energy,SD-WAN,45,45,45,6,86.67,29.46,0.643
2024-07-01,CUST-018,Granite Power Co-op,Gold,Energy,Managed Cloud,11,11,11,0,100.0,24.55,0.35
2024-07-01,CUST-018,Granite Power Co-op,Gold,Energy,Business Voice (SIP),65,65,65,7,89.23,16.37,0.514
2024-07-01,CUST-018,Granite Power Co-op,Gold,Energy,Managed Security,25,25,25,2,92.0,23.1,0.531
2024-07-01,CUST-018,Granite Power Co-op,Gold,Energy,Dedicated Internet,28,28,28,1,96.43,15.57,0.418
2024-07-01,CUST-019,Stonebridge Regional Authority,Gold,Public Sector,Business Voice (SIP),49,49,49,4,91.84,17.25,0.525
2024-07-01,CUST-019,Stonebridge Regional Authority,Gold,Public Sector,Managed Cloud,20,20,20,1,95.0,9.84,0.412
2024-07-01,CUST-019,Stonebridge Regional Authority,Gold,Public Sector,MPLS WAN,44,44,44,12,72.73,28.58,0.805
2024-07-01,CUST-019,Stonebridge Regional Authority,Gold,Public Sector,Managed Security,40,40,40,3,92.5,15.53,0.442
2024-07-01,CUST-019,Stonebridge Regional Authority,Gold,Public Sector,Dedicated Internet,34,34,34,9,73.53,23.97,0.654
2024-07-01,CUST-019,Stonebridge Regional Authority,Gold,Public Sector,SD-WAN,63,63,63,9,85.71,14.1,0.689
2024-07-01,CUST-020,Orchard Distribution,Silver,Logistics,Managed Cloud,3,3,3,0,100.0,22.08,0.382
2024-07-01,CUST-020,Orchard Distribution,Silver,Logistics,MPLS WAN,1,1,1,0,100.0,10.1,0.421
2024-07-01,CUST-020,Orchard Distribution,Silver,Logistics,Dedicated Internet,28,28,28,4,85.71,26.96,0.553
2024-07-01,CUST-020,Orchard Distribution,Silver,Logistics,Managed Security,4,4,4,0,100.0,7.05,0.329
2024-07-01,CUST-020,Orchard Distribution,Silver,Logistics,Business Voice (SIP),33,33,33,3,90.91,31.58,0.519
2024-07-01,CUST-021,Keystone Distribution,Gold,Logistics,Business Voice (SIP),62,62,62,11,82.26,27.03,0.685
2024-07-01,CUST-021,Keystone Distribution,Gold,Logistics,Managed Security,30,30,30,2,93.33,15.5,0.414
2024-07-01,CUST-021,Keystone Distribution,Gold,Logistics,MPLS WAN,12,12,12,0,100.0,13.36,0.437
2024-07-01,CUST-021,Keystone Distribution,Gold,Logistics,Managed Cloud,30,30,30,1,96.67,14.71,0.417
2024-07-01,CUST-021,Keystone Distribution,Gold,Logistics,SD-WAN,92,92,92,11,88.04,31.29,0.598
2024-07-01,CUST-021,Keystone Distribution,Gold,Logistics,Dedicated Internet,66,66,66,9,86.36,24.67,0.659
2024-07-01,CUST-022,Ironwood Health Network,Silver,Healthcare,Managed Cloud,7,7,7,0,100.0,12.38,0.415
2024-07-01,CUST-022,Ironwood Health Network,Silver,Healthcare,MPLS WAN,5,5,5,1,80.0,22.96,0.881
2024-07-01,CUST-022,Ironwood Health Network,Silver,Healthcare,Business Voice (SIP),14,14,14,1,92.86,19.03,0.453
2024-07-01,CUST-022,Ironwood Health Network,Silver,Healthcare,Dedicated Internet,18,18,18,1,94.44,39.0,0.611
2024-07-01,CUST-022,Ironwood Health Network,Silver,Healthcare,SD-WAN,23,23,23,5,78.26,45.91,0.823
2024-07-01,CUST-023,Silverline Learning Trust,Bronze,Education,Business Voice (SIP),19,19,19,3,84.21,53.82,0.625
